venue_abbr,venue_name,venue_old
Sporting Legends Club,Sporting Legends Club,Sporting Legends Club
Sportspark,Sportspark Gaming and Entertainment Cent,Sportspark
Springvale RSL,Springvale RSL,Springvale RSL Club
The Clubhouse Bar & Bistro,The Clubhouse Bar & Bistro,SS & A Wodonga West
St Albans Hotel,St Albans Hotel,St Albans Hotel
St Albans Sports Club,St Albans Sports Club,St Albans Sports Club
St Arnaud Sporting Club,St Arnaud Sporting Club,St Arnaud Sporting Association Inc
St George Workers Club,St George Workers Club,St George Workers Club
The Lincoln,The Lincoln,St Ives Biere Cafe
St Kilda Army and Navy Club,St Kilda Army and Navy Club,St Kilda Army & Navy Club
St Kilda Football Club,St Kilda Football Club,St Kilda Football Social Club
Stamford Hotel,Stamford Hotel,Stamford Hotel
Star Hotel,Star Hotel (Bright),Star Hotel Bright
Star Hotel ,Star Hotel (Sale),The Star Hotel Sale
Stawell Harness Racing Club,Stawell Harness Racing Club,Stawell Harnes Racing Club
Steeples,Steeples,Steeples (Mornington Racing Club Inc.)
Stoneys Club,Stoneys Club,Stoneys Club
Sugar Gum Hotel,Sugar Gum Hotel,Sugargum Tavern
Summerhill Hotel,Summerhill Hotel,Summerhill Hotel
Sunbury Bowling Club,Sunbury Bowling Club,Sunbury Bowling Club
Sunbury Social Club,Sunbury Social Club,Sunbury Football Club
Sunbury United Sporting Club,Sunbury United Sporting Club,Sunbury United Sporting Club
Sunshine City Club,Sunshine City Club,Sunshine City Club
Sunshine RSL,Sunshine RSL,Sunshine RSL
Swan Hill Club,Swan Hill Club,Swan Hill Club
Swan Hill RSL,Swan Hill RSL,Swan Hill RSL
Sylvania Hotel,Sylvania Hotel,Sylvania Hotel
Tabcorp Park,Tabcorp Park,Melton Entertainment Complex
Tankerville Arms Hotel,Tankerville Arms Hotel,Tankerville Arms Hotel
Taylors Lakes Hotel,Taylors Lakes Hotel,Taylors Lakes Family Hotel
Templestowe Hotel,Templestowe Hotel,Templestowe Hotel
Terminus Hotel,Terminus Hotel,Terminus Hotel
The Bay & Bridge Hotel,The Bay & Bridge Hotel,The Bay & Bridge Hotel
The Borough Club,The Borough Club,The Borough Club
The Brass Monkey on Lonsdale,The Brass Monkey on Lonsdale,The Brass Monkey on Lonsdale
The Bridge Hotel,The Bridge Hotel,Doyles Bridge Hotel
The Brook on Sneydes,The Brook on Sneydes,The Brook on Sneydes
The Chase Hotel,The Chase Hotel,Vegas Chas - Forest Hill Chase
The Club,The Club,The Club
The Coach and Horses,The Coach and Horses,The Coach and Horses
North Pier Hotel,North Pier Hotel,The Continental Hotel
The Cove Hotel,The Cove Hotel,The Cove Hotel
The Foundry Hotel Complex,The Foundry Hotel Complex,The Foundry Hotel Complex
The Grand at Dandenong,The Grand at Dandenong,The Grand at Dandenong
The International,The International,The International
The Lakes Entertainment Centre,The Lakes Entertainment Centre,The Lakes Entertainment Centre
The Meeting Place,The Meeting Place,Melbourne Central Pokies
The Miners Tavern,The Miners Tavern,The Miners Tavern
The Moonee Ponds Club,The Moonee Ponds Club,North Suburban Club
The Old Town 'N' Country Tavern,The Old Town 'N' Country Tavern,Old Town & Country Tavern
The Orbost Club,The Orbost Club,Orbost Club
The Pink Hill Hotel,The Pink Hill Hotel,The Pink Hill Hotel
The Prince of Wales Hotel,The Prince of Wales Hotel - Richmond,The Prince of Wales Hotel - Richmond
The Rex,The Rex,The Rex (Port Melbourne Football Club)
The Richmond Social,The Richmond Social,Vaucluse Hotel
The Royal Hotel Ferntree Gully,The Royal Hotel Ferntree Gully,Royal Taverner
The Settlement at Cranbourne,The Settlement at Cranbourne,Settlement at Cranbourne
The Tigers Clubhouse,The Tigers Clubhouse,The Tigers Clubhouse
The Vale Hotel,The Vale Hotel,Springvale Hotel
The Vic Inn,The Vic Inn,Vic Inn Williamstown
Tooradin Sports Club,Tooradin & District Sports Club,Tooradin Sports Club
Torquay Golf Club,Torquay Golf Club,Torquay Golf Club
Torquay Hotel,Torquay Hotel,Torquay Hotel
Tower Hotel,Tower Hotel,Tower Hotel
Town Hall Hotel,Town Hall Hotel Stawell,Town Hall Hotel
Traralgon Bowls Club,Traralgon Bowls Club,Traralgon Bowls Club
Traralgon RSL,Traralgon RSL,Traralgon RSL
Pullman Melbourne on the Park,Treasure Cove- Hilton on The Park,Treasure Cove- Hilton on The Park
Trios Sports Club,Trios Sports Club,Trios Tabaret
Tudor Inn Hotel,Tudor Inn Hotel,Tudor Inn Hotel
Union Club Hotel,Union Club Hotel,Union Club Hotel
Upper Yarra RSL,Upper Yarra RSL,Upper Yarra RSL
Valley Inn Hotel,Valley Inn Hotel,Valley Inn Hotel
Vegas at Waverley Gardens,Vegas at Waverley Gardens,Hawthorn Football Club - Waverley
Veneto Club,Veneto Club,Veneto Social Club
Victoria Hotel ,Victoria Hotel (Shepparton),Victoria Hotel - Shepparton
The Victoria Hotel,The Victoria Hotel Yarraville,Victoria on Hyde Hotel
Victorian Tavern,Victorian Tavern,Victorian Tavern
Village Belle Hotel,Village Belle Hotel,Village Belle Hotel
Village Green Hotel,Village Green Hotel,Village Green Hotel
Vine Hotel Richmond,Vine Hotel Richmond,Vine Hotel - Richmond
Waltzing Matilda Hotel,Waltzing Matilda Hotel,Waltzing Matilda Hotel
Wangaratta Club,Wangaratta Club,Wangaratta Club
Wangaratta RSL,Wangaratta RSL,Wangaratta RSL
Wantirna Club,Wantirna Club (Richmond Football Club),Wantirna Club
Wantirna Hill Club,Wantirna Hill Club,Vermont Football Club
Warragul Club,Warragul Club,Warragul Club
Warragul Country Club,Warragul Country Club,Warragul Country Golf Club
Warranambool Bowling Club,Warranambool Bowling Club,Warrnambool Bowls Club
Warrnambool Football Club,Warrnambool Football Club Social Club,Warrnambool Football Club Social Club
Warrnambool RSL,Warrnambool RSL,Warrnambool RSL
Watergardens Hotel,Watergardens Hotel,Watergardens Hotel
Waterloo Cup Hotel,Waterloo Cup Hotel,Waterloo Cup Hotel
Watsonia RSL,Watsonia RSL,Watsonia RSL
Waurn Ponds Hotel,Waurn Ponds Hotel,Waurn Ponds Hotel
Waverley RSL,Waverley RSL Club,Waverley RSL
Werribee Bowling Club,Werribee Bowling Club,Werribee Bowling Club
Werribee Plaza Tavern,Werribee Plaza Tavern,Werribee Plaza Tavern
Werribee RSL,Werribee RSL,Werribee RSL
West Heidelberg RSL,West Heidelberg RSL,West Heidelberg RSL
West Side Horsham,West Side Horsham,West Side Tabaret
West Waters Hotel,West Waters Hotel,West Waters Hotel
Westend Market Hotel,Westend Market Hotel,Westend Market Hotel
Westernport Hotel,Westernport Hotel,Westernport Hotel
Westmeadows Tavern,Westmeadows Tavern,Westmeadows Tavern
Westside Taverner,Westside Taverner,Westside Hotel/Motel
Whalers Hotel,Whalers Hotel,Whalers Inn
Wheelers Hill Hotel,Wheelers Hill Hotel,Wheelers Hill Hotel
Whittlesea Bowls Club,Whittlesea Bowls Club,Whittlesea Bowls Club
Williamstown RSL,Williamstown RSL,Williamstown RSL
Windermere Hotel,Windermere Hotel,Windemere Hotel
Wonthaggi Club,Wonthaggi Club,Wonthaggi Club
Wonthaggi Golf Club,Wonthaggi Golf Club,Wonthaggi Golf Club
Wonthaggi Workmen's Club,Wonthaggi Workmen's Club,Wonthaggi Workingmans Club
Yarra Valley Country Club,Yarra Valley Country Club,Yarra Valley Country Club
Yarram Country Club,The Yarram Country Club,Yarram Country Club
Yarraville Club,Yarraville Club,Yarraville Club
Yarraville Club Cricket Club,Yarraville Club Cricket Club,Yarraville Cricket Club
Yarraville-Footscray Bowling Club,Yarraville-Footscray Bowling Club,Yarraville Footscray Bowling Club
York on Lilydale Taverner Resort,York on Lilydale Taverner Resort,York on Lilydale Taverner Resort
Zagames Caulfield Club Hotel,Zagames Caulfield Club Hotel,Zagame's Caulfield Club Hotel
Junction Club,MVRC Junction Club,MOONEE PONDS TAVERN (JUNCTION TABARET)
