venue_abbr,venue_name,venue_old
Club Laverton,Club Laverton,Carlton Cricket & F/Ball Soc. Club (Lav)
Club Leeds,Club Leeds,Club Leeds
Club Officer,Club Officer,Pakenham Sports Club
Club Ringwood,Club Ringwood,Club Ringwood
Club Tarneit,Club Tarneit,Club Tarneit
Club Tivoli,Club Tivoli,Club Tivoli
Club Warrandyte,Club Warrandyte,Club Warrandyte
Cobden Golf Club,Cobden Golf Club,Cobden Golf Club
Cobram Hotel,Cobram Hotel,Cobram Hotel
Colac Bowling Club,Colac Bowling Club,Colac Bowling Club
Colac RSL,Colac RSL,Colac RSL
Commercial Hotel,Commercial Hotel (Camperdown),Commercial Hotel - Camperdown
Commercial Hotel,Commercial Hotel (Swan Hill),Commercial Hotel - Swan Hill
Commercial Taverner,Commercial Taverner,Commercial Taverner
Coolaroo Taverner,Coolaroo Taverner,Coolaroo Taverner
Corryong Sporting Complex,Corryong Sporting Complex,Corryong Sports Club
Court House Hotel,Court House Hotel (Bacchus Marsh),Court House Hotel - Bacchus Marsh
Court House Hotel,Court House Hotel (Brunswick),Court House Hotel - Brunswick
Court House Hotel,Court House Hotel (Footscray),Court House Hotel (Footscray)
Court Jester Hotel,Court Jester Hotel,Court Jester Tavern
Craigieburn Sporting Club,Craigieburn Sporting Club,Craigieburn Sports Club
Craig's Royal Hotel,Craig's Royal Hotel,Craigs Royal Hotel
Cramers Hotel,Cramers Hotel,Cramers Hotel
Cranbourne Silks,Cranbourne Silks,Cranbourne RSL
Cross Keys Hotel,Cross Keys Hotel,Cross Keys Hotel
Crown Hotel,Crown Hotel,Lilydale Crown Hotel
Croxton Park Hotel,Croxton Park Hotel,Croxton Park Hotel
Croydon Hotel,Croydon Hotel,Croydon Hotel
Cumberland Hotel,Cumberland Hotel,Cumberland Hotel
Dandenong Club,Dandenong Club,Dandenong Club
Dandenong RSL,Dandenong RSL,Dandenong RSL
Dandenong Workers Social Club,Dandenong Workers Social Club,Dandenong Workers Club
Danish Club,Danish Club,Danish Club
Darebin RSL,Darebin RSL,Darebin RSL
Dava Hotel,Dava Hotel,Dava Hotel
Daylesford Bowling Club,Daylesford Bowling Club,Daylesford Bowling Club
Deer Park Club,Deer Park Club,Deer Park Club
Deer Park Hotel,Deer Park Hotel,Deer Park Hotel
Derrimut Hotel,Derrimut Hotel,Derrimut Hotel
Diamond Creek Hotel,Diamond Creek Hotel,Diamond Creek Tavern
Dick Whittington Tavern,Dick Whittington Tavern,Dick Whittington Tavern
Dingley International Hotel,Dingley International Hotel,Dingley International Hotel
Doncaster Hotel,Doncaster Hotel,Doncaster Inn
Dorset Gardens Hotel,Dorset Gardens Hotel,Dorset Gardens Hotel
Dromana Hotel,Dromana Hotel,Dromana Hotel
Drums Hotel,Drums Hotel,Drums Coburg Hotel
Duke of Edinburgh,Duke of Edinburgh,Zagames Brunswick Club Hotel
East Malvern RSL,East Malvern RSL,East Malvern RSL
Eastwood Golf Club,Eastwood Golf Club,Eastwood Golf Club
Echuca Hotel,Echuca Hotel,Echuca Hotel
Echuca Workers and Services Club,Echuca Workers and Services Club,Echuca Workingmans Club
Edithvale - Chelsea RSL,Edithvale - Chelsea RSL,Chelsea RSL
Edwards Lake Hotel,Edwards Lake Hotel,Edwardes Lake Hotel
Elgin's,Elgin's,Wodonga Hotel (Elgins)
Elsternwick Club,Elsternwick Club,The Elsternwick Club
Elsternwick Hotel,Elsternwick Hotel,Elsternwick Hotel
Eltham Hotel,Eltham Hotel,Eltham Hotel
Eltham RSL,Eltham RSL,Eltham RSL
Elwood RSL,Elwood RSL,Elwood RSL
Epping Hotel,Epping Hotel,Epping Hotel
Epping Plaza Hotel,Epping Plaza Hotel,Epping Plaza Hotel
Epping RSL,Epping RSL,Epping RSL
Esplanade Hotel,Esplanade Hotel (Inverloch),Esplanade Hotel - Inverloch
Queenscliff Brew House,Esplanade Hotel (Queenscliff),Esplanade Hotel - Queenscliff
Essendon Football Club,Essendon Football & Community Sporting C,Essendon Football Club
Excelsior Hotel,Excelsior Hotel,Excelsior Hotel-Motel
Fairfield RSL,Fairfield and Alphington RSL,Fairfield & Alphington RSL
Family Hotel,Family Hotel,Family Hotel
Fawkner RSL,Fawkner RSL,Fawkner RSL
Ferntree Gully Bowling Club,Ferntree Gully Bowling Club,Fawkner RSL
Ferntree Gully Hotel,Ferntree Gully Hotel,Ferntree Gully Hotel
First & Last Hotel,First & Last Hotel,First & Last Hotel
Flying Horse Bar and Brewery,Flying Horse Bar and Brewery,Flying Horse Bar and Brewery
Western Bulldogs,Western Bulldogs,Footscray Football Club
Foresters Arms Hotel,Foresters Arms Hotel,Foresters Arms Hotel
Foster Golf Club,Foster Golf Club,Foster Golf Club
Fountain Gate Taverner,Fountain Gate Taverner,Fountain Gate Taverner
Frankston Football Club,Frankston Football Club,Frankston Football Club
Frankston RSL,Frankston RSL,Frankston RSL
Freccia Azzurra Club,Freccia Azzurra Club,Freccia Azzura Club
Furlan Club,Furlan Club,Club Fogolar Furlan
Fyansford Hotel,Fyansford Hotel,Fyansford Hotel
Gateway Hotel,Gateway Hotel,Gateway Hotel
Geelong Combined Leagues Club,Geelong Combined Leagues Club,Geelong Combined Leagues Club
Geelong Football Club,Geelong Football Club,Geelong Football Club
Geelong RSL,Geelong RSL,Geelong RSL
George Hotel,George Hotel,George Hotel
Gladstone Park Hotel,Gladstone Park Hotel,Gladstone Park Hotel
Glengala Hotel,Glengala Hotel,Glengala Hotel
Glenroy RSL,Glenroy RSL Club,Glenroy RSL
Golden Fleece Hotel,Golden Fleece Hotel (Melton),Golden Fleece Hotel
Golden Fleece Hotel ,Golden Fleece Hotel (South Melbourne),Golden Fleece Hotel (South Melbourne)
Golden Nugget,Golden Nugget,Cathay Gold Nugget
Golden Point Hotel,Zagame's Ballarat Club Hotel,Ballarat Club Hotel
Golfhouse Hotel,Golfhouse Hotel,Golf House Hotel
Gordon Hotel,Gordon Hotel,Gordon Hotel
Goulburn Valley Hotel,Goulburn Valley Hotel,Goulburn Valley Hotel
Grand Central Hotel,Grand Central Hotel (Hamilton),Grand Central Hotel
Grand Hotel,Grand Hotel (Frankston),The Grand Hotel Frankston
Grand Hotel,Grand Hotel (Mornington),Grand Hotel Mornington
Grand Junction Hotel,Grand Junction Hotel Traralgon,Grand Junction Hotel
Grand on Deakin,Grand on Deakin,Mildura Grand Hotel
Grand Terminus Hotel,Grand Terminus Hotel,Grand Terminus Hotel
Great Western Hotel,Great Western Hotel,Great Western Hotel
Green Gully Soccer Club,Green Gully Soccer Club,Green Gully Soccer Club
Greensborough Hotel,Greensborough Hotel,Greensborough Hotel
