Venue Name,Venue Type,Address,City / Town,Postcode,LGA,Region,Lat,Long
YARRA VALLEY COUNTRY CLUB,Club,9 - 15 TEMPLESTOWE ROAD,BULLEEN,3105,City of Manningham,Manningham City,-37.7572,145.0847015
OLD ENGLAND HOTEL,Hotel,459 LOWER HEIDELBERG ROAD,HEIDELBERG,3084,City of Banyule,Banyule (Capped Region),-37.7581,145.0686951
SIR HENRY BARKLY HOTEL,Hotel,92 BURGUNDY STREET,HEIDELBERG,3084,City of Banyule,Banyule (Capped Region),-37.7558,145.0675049
DRUMS HOTEL,Hotel,613 SYDNEY ROAD,COBURG,3058,City of Moreland,Moreland (Capped Region),-37.7375,144.9662933
CRAMERS HOTEL,Hotel,1 CRAMER STREET,PRESTON,3072,City of Darebin,Darebin (Capped Region),-37.7408,145.002594
ST ALBANS HOTEL,Hotel,5 MCKECHNIE STREET,ST ALBANS,3021,City of Brimbank,Brimbank (Capped Region),-37.7464,144.800293
PIER HOTEL,Hotel,508 NEPEAN HIGHWAY,FRANKSTON,3199,City of Frankston,Frankston (Capped Region),-38.1449,145.1199036
MOE RSL CLUB,Club,63 ALBERT STREET,MOE,3825,City of La Trobe,Latrobe (Capped Region),-38.1751,146.2626038
WAVERLEY RSL CLUB,Club,CNR COLEMAN PDE & GLENDALE STREET,GLEN WAVERLEY,3150,City of Monash,Monash City (Municipal Limit),-37.8801,145.1625061
MOONEE VALLEY RACING CLUB,Club,CORNER WILSON & THOMAS STREET,MOONEE PONDS,3039,City of Moonee Valley,Moonee Valley (Capped Region),-37.763242,144.930425
MORWELL HOTEL,Hotel,CORNER VINCENT STREET & PRINCES HIGHWAY,MORWELL,3840,City of La Trobe,Latrobe (Capped Region),-38.2387,146.4100952
EXCELSIOR HOTEL,Hotel,82 MAHONEY'S ROAD,THOMASTOWN,3074,City of Whittlesea,Whittlesea (Capped Region),-37.6926,145.0005951
NORTH BALLARAT SPORTS CLUB,Club,"BALLARAT SHOWGROUNDS RESERVE, CRESWICK ROAD",BALLARAT,3350,City of Ballarat,Ballarat (Capped Region),-37.5416,143.8491058
SWAN HILL RSL,Club,138 CURLEWIS STREET,SWAN HILL,3585,Rural City of Swan Hill,Swan Hill Rural City,-35.3412,143.561203
ROYAL EXCHANGE HOTEL,Hotel,64 PRINCES HIGHWAY,TRARALGON,3844,City of La Trobe,Latrobe (Capped Region),-38.1983,146.5355988
ROSEBUD RSL,Club,117 EASTBOURNE ROAD,ROSEBUD,3939,Mornington Peninsula Shire,Mornington Peninsula Shire,-38.368,144.9044952
CITY FAMILY HOTEL,Club,41-55 HIGH STREET,BENDIGO,3550,City of Greater Bendigo,Greater Bendigo City,-36.7606,144.2769928
WERRIBEE RSL,Club,"KELLY PARK, SYNOTT STREET",WERRIBEE,3030,City of Wyndham,Wyndham (Capped Region),-37.9005,144.6645966
MILLERS INN HOTEL,Hotel,204 MILLERS ROAD,ALTONA NORTH,3025,City of Hobsons Bay,Hobsons Bay (Capped Region),-37.8353,144.8468933
GRAND CENTRAL HOTEL (HAMILTON),Hotel,141 GRAY STREET,HAMILTON,3300,Shire of Southern Grampians,Southern Grampians Shire,-37.7429,142.0240021
WESTEND MARKET HOTEL,Hotel,47 MCINTYRE ROAD,SUNSHINE,3020,City of Brimbank,Brimbank (Capped Region),-37.7719,144.8264008
NOBLE PARK FOOTBALL SOCIAL CLUB,Club,46 MOODEMERE STREET,NOBLE PARK,3174,City of Greater Dandenong,Greater Dandenong (Capped Region),-37.9769,145.1681061
DANDENONG WORKERS SOCIAL CLUB,Club,48 WEDGE STREET,DANDENONG,3175,City of Greater Dandenong,Greater Dandenong (Capped Region),-37.9918,145.2265015
CASA D'ABRUZZO CLUB,Club,55 O'HERNS ROAD,EPPING,3076,City of Whittlesea,Whittlesea (Capped Region),-37.6381,145.0196075
FRANKSTON RSL,Club,183 CRANBOURNE ROAD,FRANKSTON,3199,City of Frankston,Frankston (Capped Region),-38.1508,145.147995
HIGHETT RETURNED & SERVICES CLUB,Club,1 STATION STREET,HIGHETT,3190,City of Kingston,Kingston City,-37.9499,145.0431976
CRANBOURNE SILKS,Club,1475 SOUTH GIPPSLAND HIGHWAY,CRANBOURNE,3977,City of Casey,Casey (Capped Region),-38.1175,145.2875977
THE BRIDGE HOTEL,Hotel,1 NEPEAN HIGHWAY,MORDIALLOC,3195,City of Kingston,Kingston City,-38.01,145.0879974
ALTONA RSL,Club,31 SARGOOD STREET,ALTONA,3018,City of Hobsons Bay,Hobsons Bay (Capped Region),-37.8675,144.8287964
SUNBURY BOWLING CLUB,Club,49 RIDDELL ROAD,SUNBURY,3429,City of Hume,Hume (Capped Region),-37.572,144.7225037
BOX HILL RSL,Club,26 NELSON ROAD,BOX HILL,3128,City of Whitehorse,Whitehorse City,-37.8154,145.1201935
SHEPPARTON RSL,Club,88 WYNDHAM STREET,SHEPPARTON,3630,City of Greater Shepparton,Greater Shepparton (Capped Region),-36.3744,145.3999939
TRARALGON RSL,Club,109-115 GREY STREET,TRARALGON,3844,City of La Trobe,Latrobe (Capped Region),-38.1929,146.5272064
WESTERNPORT HOTEL,Hotel,CORNER SALMON & HIGH STREETS,HASTINGS,3915,Mornington Peninsula Shire,Mornington Peninsula Shire,-38.3073,145.1929932
THE OLD TOWN 'N' COUNTRY TAVERN,Hotel,CNR GRETA ROAD & MASON STREET,WANGARATTA,3677,Rural City of Wangaratta,Wangaratta Rural City,-36.3766,146.3070068
MENTONE RSL,Club,9 PALERMO STREET,MENTONE,3194,City of Kingston,Kingston City,-37.9896,145.0662994
WATSONIA RSL,Club,6 MORWELL AVENUE,WATSONIA,3087,City of Banyule,Banyule (Capped Region),-37.7093,145.0820007
EDITHVALE - CHELSEA RSL,Club,4 THAMES PROMENADE,CHELSEA,3196,City of Kingston,Kingston City,-38.0504,145.1165009
ALBION CHARLES HOTEL,Hotel,2 CHARLES STREET,NORTHCOTE,3070,City of Darebin,Darebin (Capped Region),-37.7771,144.9904022
DANDENONG CLUB,Club,1579 HEATHERTON ROAD,DANDENONG,3175,City of Greater Dandenong,Greater Dandenong (Capped Region),-37.9705,145.2250061
FURLAN CLUB,Club,1 MATISI STREET,THORNBURY,3071,City of Darebin,Darebin (Capped Region),-37.7575,145.0279999
MORWELL CLUB,Club,136 HELEN STREET,MORWELL,3840,City of La Trobe,Latrobe (Capped Region),-38.234,146.391098
THE MOONEE PONDS CLUB,Club,622 MT ALEXANDER ROAD,MOONEE PONDS,3039,City of Moonee Valley,Moonee Valley (Capped Region),-37.7714,144.9266968
CHIRNSIDE PARK COUNTRY CLUB,Club,68 KINGSWOOD DRIVE,CHIRNSIDE PARK,3116,Shire of Yarra Ranges,Yarra Ranges Shire,-37.75,145.3255005
SHANGHAI CLUB,Hotel,242-244 LITTLE BOURKE STREET,MELBOURNE,3000,City of Melbourne,"Melbourne CBD, Docklands & Southbank Precincts",-37.8121,144.9656067
PRINCE MARK HOTEL,Hotel,CORNER POWER ROAD & PRINCES HIGHWAY,DOVETON,3177,City of Casey,Casey (Capped Region),-38.0005,145.2342072
GOLDEN NUGGET,Hotel,117 LONSDALE STREET,MELBOURNE,3000,City of Melbourne,"Melbourne CBD, Docklands & Southbank Precincts",-37.8105,144.9687958
KEILOR EAST RSL,Club,12-22 HOFFMANS ROAD,ESSENDON,3040,City of Moonee Valley,Moonee Valley (Capped Region),-37.7525,144.8901062
ITALIAN AUSTRALIAN SPORTING AND SOCIAL CLUB OF GIPPSLAND,Club,499-501 PRINCES HIGHWAY,MORWELL,3840,City of La Trobe,Latrobe (Capped Region),-38.2333,146.433197
SHOPPINGTOWN HOTEL,Hotel,13-21 WILLIAMSONS ROAD,DONCASTER,3108,City of Manningham,Manningham City,-37.7849,145.1237946
CLUB HOTEL (FERNTREE GULLY),Hotel,848 BURWOOD HIGHWAY,FERNTREE GULLY,3156,City of Knox,Knox City,-37.8827,145.2760925
HORSHAM RSL,Club,36 MCLACHLAN STREET,HORSHAM,3400,Rural City of Horsham,Horsham Rural City,-36.7129,142.1999969
RISING SUN HOTEL,Hotel,84 BARNARD STREET,BENDIGO,3550,City of Greater Bendigo,Greater Bendigo City,-36.7502,144.2828064
MOUNTAIN VIEW HOTEL,Hotel,186 SPRINGVALE ROAD,GLEN WAVERLEY,3150,City of Monash,Monash City (Municipal Limit),-37.8739,145.1674042
TAYLORS LAKES FAMILY HOTEL,Hotel,7 MELTON HIGHWAY,TAYLORS LAKES,3038,City of Brimbank,Brimbank (Capped Region),-37.7023,144.7998047
CLAYTON RSL,Club,163 CARINISH ROAD,CLAYTON,3168,City of Monash,Monash (Capped Region),-37.9254,145.1226044
CUMBERLAND HOTEL,Hotel,191 BARKER STREET,CASTLEMAINE,3450,Shire of Mount Alexander,Mount Alexander Shire,-37.0646,144.216507
BLUE BELL HOTEL,Hotel,1216 HOWITT STREET,WENDOUREE,3355,City of Ballarat,Ballarat (Capped Region),-37.5396,143.8294983
GROVEDALE HOTEL,Hotel,236-258 TORQUAY ROAD,GROVEDALE,3216,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.2031,144.3414001
BOUNDARY TAVERNER,Hotel,726 CENTRE ROAD,BENTLEIGH EAST,3165,City of Glen Eira,Glen Eira City,-37.9212,145.058197
NORLANE HOTEL,Hotel,2-6 PRINCES HIGHWAY,NORLANE,3214,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.0985,144.355896
CRAIG'S ROYAL HOTEL,Hotel,10 LYDIARD STREET SOUTH,BALLARAT,3350,City of Ballarat,Ballarat (Capped Region),-37.5626,143.857193
THE ROYAL HOTEL FERNTREE GULLY,Hotel,1208 BURWOOD HIGHWAY,FERNTREE GULLY,3156,City of Knox,Knox City,-37.8939,145.3096008
ROSEBUD HOTEL,Hotel,1099 POINT NEPEAN ROAD,ROSEBUD,3939,Mornington Peninsula Shire,Mornington Peninsula Shire,-38.3567,144.902298
CROYDON HOTEL,Hotel,47 MAROONDAH HIGHWAY,CROYDON,3136,City of Maroondah,Maroondah (Capped Region),-37.7905,145.2631989
WHEELERS HILL HOTEL,Hotel,871-891 FERNTREE GULLY ROAD,WHEELERS HILL,3150,City of Monash,Monash City (Municipal Limit),-37.9063,145.1894989
ROYAL HOTEL (SUNBURY),Hotel,63 EVANS STREET,SUNBURY,3429,City of Hume,Hume (Capped Region),-37.5802,144.729599
SOUTH OAKLEIGH CLUB,Club,1 VICTOR ROAD,BENTLEIGH EAST,3165,City of Glen Eira,Glen Eira City,-37.9313,145.0756073
EASTWOOD GOLF CLUB,Club,LIVERPOOL ROAD,KILSYTH,3137,City of Maroondah,Maroondah (Capped Region),-37.8355,145.3148041
MOTOR CLUB HOTEL,Hotel,38-56 HIGH STREET,CRANBOURNE,3977,City of Casey,Casey (Capped Region),-38.1114,145.283493
RYE HOTEL,Hotel,2415 POINT NEPEAN ROAD,RYE,3941,Mornington Peninsula Shire,Mornington Peninsula Shire,-38.3703,144.8204956
CAULFIELD GLASSHOUSE,Club,STATION STREET,CAULFIELD EAST,3145,City of Glen Eira,Glen Eira City,-37.8772,145.0395966
GEELONG RSL,Club,50 BARWON HEADS ROAD,BELMONT,3216,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.1734,144.3509064
DINGLEY INTERNATIONAL HOTEL,Hotel,334 BOUNDARY ROAD,DINGLEY,3172,City of Kingston,Kingston City,-37.9792,145.1123962
DEER PARK HOTEL,Hotel,760 BALLARAT ROAD,DEER PARK,3023,City of Brimbank,Brimbank (Capped Region),-37.7706,144.7879944
HEADQUARTERS TAVERN,Club,EPSOM ROAD,FLEMINGTON,3031,City of Melbourne,Melbourne (Capped Region),-37.7891,144.9071045
ALBION HOTEL,Hotel,327 LONSDALE STREET,DANDENONG,3175,City of Greater Dandenong,Greater Dandenong (Capped Region),-37.9859,145.213501
GREENSBOROUGH RSL,Club,111 MAIN STREET,GREENSBOROUGH,3088,City of Banyule,Banyule City (Municipal Limit),-37.7018,145.1054993
COMMERCIAL TAVERNER,Hotel,111 WATTON STREET,WERRIBEE,3030,City of Wyndham,Wyndham (Capped Region),-37.9022,144.6605072
HOPPERS CROSSING CLUB,Club,180 - 200 PANNAM DRIVE,HOPPERS CROSSING,3029,City of Wyndham,Wyndham (Capped Region),-37.8693,144.6923981
AMSTEL GOLF CLUB,Club,1000 CRANBOURNE-FRANKSTON ROAD,CRANBOURNE,3977,City of Casey,Casey (Capped Region),-38.1112,145.2579956
BAIRNSDALE RSL,Club,2 FORGE CREEK ROAD,BAIRNSDALE,3875,Shire of East Gippsland,East Gippsland (Capped Region),-37.8322,147.6105957
WHALERS HOTEL,Hotel,53 LIEBIG STREET,WARRNAMBOOL,3280,City of Warrnambool,Warrnambool (Capped Region),-38.3858,142.4812927
TORQUAY HOTEL,Hotel,36 BELL STREET,TORQUAY,3228,Surf Coast Shire,Surf Coast Shire,-38.3382,144.319397
MULGRAVE COUNTRY CLUB,Club,CNR JELLS AND WELLINGTON RD,WHEELERS HILL,3150,City of Monash,Monash City (Municipal Limit),-37.921,145.1853027
SANDRINGHAM HOTEL,Hotel,118 BEACH ROAD,SANDRINGHAM,3191,City of Bayside,Bayside City,-37.9512,145.0032959
OCEAN GROVE BOWLING CLUB,Club,18 THE TERRACE,OCEAN GROVE,3226,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.2659,144.5169067
TRARALGON BOWLS CLUB,Club,CNR GWALIA STREET & LIDDIARD ROAD,TRARALGON,3844,City of La Trobe,Latrobe (Capped Region),-38.1943,146.5514069
MAROONDAH SPORTS CLUB,Club,CNR MT DANDENONG ROAD AND DUBLIN ROAD,RINGWOOD EAST,3135,City of Maroondah,Maroondah (Capped Region),-37.809,145.2453003
KOORINGAL GOLF CLUB,Club,WILGA AVENUE,ALTONA,3018,City of Hobsons Bay,Hobsons Bay (Capped Region),-37.8736,144.8119965
ROSEBUD COUNTRY CLUB,Club,BONEO ROAD,ROSEBUD,3939,Mornington Peninsula Shire,Mornington Peninsula Shire,-38.3788,144.8993988
THE VALE HOTEL,Hotel,2277 DANDENONG ROAD,MULGRAVE,3170,City of Monash,Monash (Capped Region),-37.9307,145.1548004
THE BENDIGO CLUB,Club,22 PARK STREET,BENDIGO,3550,City of Greater Bendigo,Greater Bendigo City,-36.762,144.3123932
CHALAMBAR GOLF CLUB,Club,118 GOLF LINKS ROAD,ARARAT,3377,Rural City of Ararat,Ararat Rural City,-37.2701,142.9111938
GREYHOUNDS ENTERTAINMENT,Club,LIGHTWOOD ROAD,SPRINGVALE,3171,City of Greater Dandenong,Greater Dandenong (Capped Region),-37.957,145.1587067
WARRNAMBOOL FOOTBALL CLUB SOCIAL CLUB,Club,CRAMER STREET,WARRNAMBOOL,3280,City of Warrnambool,Warrnambool (Capped Region),-38.38,142.4947052
KEYSBOROUGH HOTEL,Hotel,CNR CORRIGAN & CHELTENHAM RDS,KEYSBOROUGH,3173,City of Greater Dandenong,Greater Dandenong (Capped Region),-37.9923,145.1622925
GLADSTONE PARK HOTEL,Hotel,186-202 MICKLEHAM ROAD,TULLAMARINE,3043,City of Hume,Hume (Capped Region),-37.6876,144.8831024
SPRINGVALE RSL CLUB,Club,23 OSBORNE AVENUE,SPRINGVALE,3171,City of Greater Dandenong,Greater Dandenong (Capped Region),-37.9462,145.1459961
ANGLESEA GOLF CLUB,Club,GOLF LINKS ROAD,ANGLESEA,3230,Surf Coast Shire,Surf Coast Shire,-38.406,144.1705933
SEAFORD RSL,Club,17 STATION STREET,SEAFORD,3198,City of Frankston,Frankston (Capped Region),-38.1029,145.128006
CITY MEMORIAL BOWLS CLUB,Club,50-58 CRAMER STREET,WARRNAMBOOL,3280,City of Warrnambool,Warrnambool (Capped Region),-38.3775,142.4958038
DANDENONG RSL,Club,44 - 50 CLOW STREET,DANDENONG,3175,City of Greater Dandenong,Greater Dandenong (Capped Region),-37.9857,145.219696
RINGWOOD RSL,Club,16 STATION STREET,RINGWOOD,3134,City of Maroondah,Maroondah (Capped Region),-37.8168,145.2285004
STAR HOTEL (SALE),Hotel,173 RAYMOND STREET,SALE,3850,Shire of Wellington,Wellington (Capped Region),-38.109,147.065506
BOX HILL GOLF CLUB,Club,202 STATION STREET,BOX HILL,3128,City of Whitehorse,Whitehorse City,-37.8397,145.121994
WINDERMERE HOTEL,Hotel,112 HIGH STREET,KANGAROO FLAT,3555,City of Greater Bendigo,Greater Bendigo City,-36.7955,144.2436981
SHELL CLUB,Club,76 PURNELL ROAD,CORIO,3214,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.0725,144.3601074
HAMPTON PARK TAVERN,Hotel,71 HALLAM ROAD,HAMPTON PARK,3976,City of Casey,Casey (Capped Region),-38.0344,145.2669067
MAC'S HOTEL (MELTON),Hotel,322-332 HIGH STREET,MELTON,3337,City of Melton,Melton City,-37.6826,144.5802002
BAYSWATER HOTEL,Hotel,780 MOUNTAIN HIGHWAY,BAYSWATER,3153,City of Knox,Knox City,-37.8409,145.2680054
COLAC RSL,Club,21 MURRAY STREET,COLAC,3250,Shire of Colac-Otway,Colac-Otway Shire,-38.3392,143.5906067
BAIRNSDALE CLUB,Club,68 NICHOLSON STREET,BAIRNSDALE,3875,Shire of East Gippsland,East Gippsland (Capped Region),-37.8244,147.6302948
NOBLE PARK RSL,Club,1128 HEATHERTON ROAD,NOBLE PARK,3174,City of Greater Dandenong,Greater Dandenong (Capped Region),-37.9656,145.1761017
RAILWAY CLUB HOTEL,Hotel,28 STATION STREET,SEYMOUR,3660,Shire of Mitchell,Mitchell Shire,-37.0239,145.1378937
SALE & DISTRICT GREYHOUND RACING CLUB,Club,SALE-MAFFRA ROAD,SALE,3850,Shire of Wellington,Wellington (Capped Region),-38.0916,147.0641022
LANGWARRIN HOTEL,Hotel,CNR UNION & CRANBOURNE ROADS,LANGWARRIN,3910,City of Frankston,Frankston City (Municipal Limit),-38.1513,145.1949005
BROADMEADOWS SPORTING CLUB,Club,111 SUNSET BOULEVARD,JACANA,3047,City of Hume,Hume (Capped Region),-37.6911,144.9098053
BENTLEIGH RSL,Club,538 CENTRE ROAD,BENTLEIGH,3204,City of Glen Eira,Glen Eira City,-37.9191,145.0424957
ROSSTOWN HOTEL,Hotel,1084 DANDENONG ROAD,CARNEGIE,3163,City of Glen Eira,Glen Eira City,-37.8843,145.0576019
ESPLANADE HOTEL (INVERLOCH),Hotel,1 A'BECKETT STREET,INVERLOCH,3996,Bass Coast Shire,Bass Coast (Capped Region),-38.6341,145.7286987
ELGIN'S,Hotel,51-53 ELGIN BOULEVARD,WODONGA,3690,Rural City of Wodonga,Wodonga City,-36.1205,146.8842926
BLAZING STUMP HOTEL,Hotel,4315 ANZAC PARADE,WODONGA,3690,Rural City of Wodonga,Wodonga City,-36.1395,146.9122925
PULLMAN MELBOURNE ON SWANSTON (BLACK OPAL),Hotel,195 SWANSTON STREET,MELBOURNE,3000,City of Melbourne,"Melbourne CBD, Docklands & Southbank Precincts",-37.813,144.9649963
CLOCKS AT FLINDERS STREET STATION,Club,"SHOP 17, FLINDERS STREET RAILWAY STATION",MELBOURNE,3000,City of Melbourne,"Melbourne CBD, Docklands & Southbank Precincts",-37.8186,144.9674988
UNION CLUB HOTEL,Hotel,110 MURRAY STREET,COLAC,3250,Shire of Colac-Otway,Colac-Otway Shire,-38.3399,143.5872955
EDWARDES LAKE HOTEL,Hotel,257 EDWARDES STREET,RESERVOIR,3073,City of Darebin,Darebin (Capped Region),-37.7155,144.9893951
GLENGALA HOTEL,Hotel,214 GLENGALA ROAD,SUNSHINE,3020,City of Brimbank,Brimbank (Capped Region),-37.7866,144.8027039
NORTHCOTE PARK FOOTBALL CLUB,Club,71 SYDNEY ROAD,BRUNSWICK,3056,City of Moreland,Moreland (Capped Region),-37.7759,144.9602966
IVANHOE HOTEL,Hotel,120 UPPER HEIDELBERG ROAD,IVANHOE,3079,City of Banyule,Banyule (Capped Region),-37.7694,145.0419006
DAREBIN RSL,Club,402 BELL STREET,PRESTON,3072,City of Darebin,Darebin (Capped Region),-37.7441,144.9985046
DEER PARK CLUB,Club,780 BALLARAT ROAD,DEER PARK,3023,City of Brimbank,Brimbank (Capped Region),-37.77,144.7807007
BAXTER TAVERN HOTEL MOTEL,Hotel,117 BAXTER-TOORADIN ROAD,BAXTER,3911,Mornington Peninsula Shire,Mornington Peninsula Shire,-38.196,145.1607971
PORTLAND MEMORIAL BOWLING CLUB,Club,33 CAPE NELSON ROAD,PORTLAND,3305,Shire of Glenelg,Glenelg Shire,-38.3594,141.6060944
MARINE HOTEL,Hotel,215 NEW STREET,BRIGHTON,3186,City of Bayside,Bayside City,-37.9132,144.9911041
PASCOE VALE RSL,Club,40 CUMBERLAND ROAD,PASCOE VALE,3044,City of Moreland,Moreland City (Municipal Limit),-37.7346,144.9382935
