Venue Name,Venue Type,Address,City / Town,Postcode,LGA,Region,Lat,Long
ABRUZZO CLUB,Club,377 LYGON STREET,EAST BRUNSWICK,3057,City of Moreland,Moreland (Capped Region),-37.766,144.9723969
ANGEL TAVERN,Hotel,641 DANDENONG ROAD,MALVERN,3144,City of Stonnington,Stonnington City,-37.8659,145.0278931
GRAND JUNCTION HOTEL,Hotel,8-22 FRANKLIN STREET,TRARALGON,3844,City of La Trobe,Latrobe (Capped Region),-38.1979,146.5381012
MVRC JUNCTION CLUB,Club,740 MT ALEXANDER ROAD,MOONEE PONDS,3039,City of Moonee Valley,Moonee Valley (Capped Region),-37.7674,144.925705
MEADOW INN HOTEL,Hotel,1435 SYDNEY ROAD,FAWKNER,3060,City of Hume,Hume (Capped Region),-37.6902,144.9573059
COOLAROO TAVERNER,Hotel,CNR BARRY ROAD & MAFFRA STREET,COOLAROO,3048,City of Hume,Hume (Capped Region),-37.6649,144.9416962
RIVERSDALE HOTEL,Hotel,277 AUBURN ROAD,HAWTHORN,3122,City of Boroondara,Boroondara City,-37.8301,145.0437927
ROYAL OAK RICHMOND,Club,527 BRIDGE ROAD,RICHMOND,3121,City of Yarra,Yarra City,-37.8193,145.0084991
GOLDEN FLEECE HOTEL (MELTON),Hotel,257-263 HIGH STREET,MELTON,3337,City of Melton,Melton City,-37.6833,144.5852966
DERRIMUT HOTEL,Hotel,132 DURHAM ROAD,SUNSHINE,3020,City of Brimbank,Brimbank (Capped Region),-37.7881,144.8303986
RACECOURSE HOTEL (WERRIBEE),Hotel,78 COTTRELL STREET,WERRIBEE,3030,City of Wyndham,Wyndham (Capped Region),-37.9017,144.6528931
SEAFORD TAVERNER,Hotel,CNR SEAFORD & FRANKSTON  DANDENONG ROADS,SEAFORD,3198,City of Frankston,Frankston (Capped Region),-38.1127,145.1555023
CROXTON PARK HOTEL,Hotel,607-619 HIGH STREET,THORNBURY,3071,City of Darebin,Darebin (Capped Region),-37.7625,145.0005035
YARRAVILLE CLUB CRICKET CLUB,Club,CORNER BALLARAT & ROSAMOND ROADS,MAIDSTONE,3012,City of Maribyrnong,Maribyrnong (Capped Region),-37.7881,144.8827972
PRAHRAN FOOTBALL SOCIAL CLUB,Club,"1ST FLOOR, 328-338 CHAPEL STREET",PRAHRAN,3181,City of Stonnington,Stonnington City,-37.8489,144.9927979
HASTINGS CRICKET & FOOTBALL SOCIAL CLUB,Club,155 MARINE PARADE,HASTINGS,3915,Mornington Peninsula Shire,Mornington Peninsula Shire,-38.2966,145.1869965
HORSHAM SPORTS & COMMUNITY CLUB,Club,177-181 BAILLIE ST,HORSHAM,3400,Rural City of Horsham,Horsham Rural City,-36.712,142.1985931
ROYAL HOTEL (BENALLA),Hotel,2 BRIDGE STREET,BENALLA,3672,Rural City of Benalla,Benalla City,-36.554,145.976593
BENDIGO STADIUM,Club,134 MARONG ROAD,GOLDEN SQUARE,3555,City of Greater Bendigo,Greater Bendigo City,-36.7586,144.2478027
GREEN GULLY SOCCER CLUB,Club,"GREEN GULLY RESERVE , CLUBHOUSE PLACE",KEILOR DOWNS,3038,City of Brimbank,Brimbank (Capped Region),-37.7241,144.8179016
KORUMBURRA HOTEL,Hotel,81 COMMERCIAL STREET,KORUMBURRA,3950,Shire of South Gippsland,South Gippsland Shire,-38.4319,145.822998
KEILOR HOTEL,Hotel,670 OLD CALDER HIGHWAY,KEILOR,3036,City of Brimbank,Brimbank (Capped Region),-37.7193,144.8365021
THE INTERNATIONAL,Club,471 MAROONDAH HIGHWAY,LILYDALE,3140,Shire of Yarra Ranges,Yarra Ranges Shire,-37.7523,145.3647003
GORDON HOTEL,Hotel,63 BENTINCK STREET,PORTLAND,3305,Shire of Glenelg,Glenelg Shire,-38.3496,141.6056061
MONTMORENCY RSL,Club,"PETRIE PARK, 16 MOUNTAIN VIEW ROAD",MONTMORENCY,3094,City of Banyule,Banyule City (Municipal Limit),-37.717,145.1257019
PAKENHAM HOTEL,Hotel,226 PRINCES HIGHWAY,PAKENHAM,3810,Shire of Cardinia,Cardinia Shire,-38.0638,145.4649048
PLAYERS HOTEL,Hotel,1-5 SCOTT STREET,DANDENONG,3175,City of Greater Dandenong,Greater Dandenong (Capped Region),-37.9864,145.2131042
KNOX TAVERN,Hotel,"1 CAPITAL CITY BOULEVARD, KNOX DISTRICT CENTRE",WANTIRNA SOUTH,3152,City of Knox,Knox City,-37.8701,145.2444
THE RICHMOND SOCIAL,Hotel,157 SWAN STREET,RICHMOND,3121,City of Yarra,Yarra City,-37.8253,144.9965057
ALEXANDRA HOUSE SPORTS CLUB,Club,134 BROWN STREET,HAMILTON,3300,Shire of Southern Grampians,Southern Grampians Shire,-37.7398,142.0231934
BELL PARK SPORT & RECREATION CLUB,Club,34-70 CALVERT STREET,HAMLYN HEIGHTS,3215,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.1232,144.3318024
WESTSIDE TAVERNER,Hotel,3-5 FITZGERALD ROAD,LAVERTON NORTH,3026,City of Wyndham,Wyndham (Capped Region),-37.8445,144.7792053
MITCHAM HOTEL,Hotel,556 MAROONDAH HIGHWAY,MITCHAM,3132,City of Whitehorse,Whitehorse City,-37.8167,145.1940002
PENINSULA HOTEL MOTEL,Hotel,195 BELLARINE HIGHWAY,NEWCOMB,3219,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.1736,144.4062042
DONCASTER HOTEL,Hotel,855 DONCASTER ROAD,DONCASTER,3108,City of Manningham,Manningham City,-37.7866,145.1432953
WONTHAGGI GOLF CLUB,Club,MCKENZIE STREET,WONTHAGGI,3995,Bass Coast Shire,Bass Coast (Capped Region),-38.597,145.5899963
KIRKPATRICKS HOTEL,Hotel,774 THE ESPLANADE,MORNINGTON,3931,Mornington Peninsula Shire,Mornington Peninsula Shire,-38.2181,145.0328064
HIGHPOINT TAVERNER,Hotel,"HIGHPOINT SHOPPING CENTRE, 200 ROSAMOND ROAD",MARIBYRNONG,3032,City of Maribyrnong,Maribyrnong (Capped Region),-37.7731,144.8883057
CRAIGIEBURN SPORTING CLUB,Club,"WILLMOTT PARK, CRAIGIEBURN ROAD",CRAIGIEBURN,3064,City of Hume,Hume (Capped Region),-37.599,144.9203033
SHERBOURNE TERRACE,Hotel,109 WYNDHAM STREET,SHEPPARTON,3630,City of Greater Shepparton,Greater Shepparton (Capped Region),-36.3756,145.4008026
FOUNTAIN GATE TAVERNER,Hotel,"FOUNTAIN GATE SHOPPING CENTRE, OVERLAND DRIVE",NARRE WARREN,3805,City of Casey,Casey (Capped Region),-38.0187,145.3031006
BUNDOORA TAVERNER,Hotel,49 PLENTY ROAD,BUNDOORA,3083,City of Whittlesea,Whittlesea (Capped Region),-37.6956,145.0587006
POWELL HOTEL,Hotel,202 BALLARAT ROAD,FOOTSCRAY,3011,City of Maribyrnong,Maribyrnong (Capped Region),-37.7906,144.8892059
FERNTREE GULLY HOTEL,Hotel,1130 BURWOOD HIGHWAY,FERNTREE GULLY,3156,City of Knox,Knox City,-37.889,145.2971039
PALACE HOTEL,Hotel,893 BURKE ROAD,CAMBERWELL,3124,City of Boroondara,Boroondara City,-37.8262,145.0572968
RIVIERA HOTEL,Hotel,30 NEPEAN HIGHWAY,SEAFORD,3198,City of Frankston,Frankston (Capped Region),-38.0888,145.1235046
DIAMOND CREEK HOTEL,Hotel,29 MAIN ROAD,DIAMOND CREEK,3089,Shire of Nillumbik,Nillumbik Shire,-37.6761,145.145401
KEALBA HOTEL,Hotel,CNR SUNSHINE AVENUE & MAIN ROAD EAST,KEALBA,3021,City of Brimbank,Brimbank (Capped Region),-37.7471,144.8289032
LINCOLNSHIRE ARMS HOTEL,Hotel,1 KEILOR ROAD,ESSENDON,3040,City of Moonee Valley,Moonee Valley (Capped Region),-37.7445,144.9096985
GLENROY RSL,Club,186 GLENROY ROAD,GLENROY,3046,City of Moreland,Moreland City (Municipal Limit),-37.7052,144.9196014
PLAYERS ON LYGON,Hotel,186-200 LYGON STREET,CARLTON,3053,City of Melbourne,Melbourne (Capped Region),-37.8024,144.9669952
KYABRAM CLUB,Club,82 ALLAN STREET,KYABRAM,3620,Shire of Campaspe,Campaspe Shire,-36.3138,145.0410004
SHAMROCK HOTEL,Hotel,CNR PALL MALL & WILLIAMSON STREET,BENDIGO,3550,City of Greater Bendigo,Greater Bendigo City,-36.7578,144.281601
LEOPOLD SPORTSMANS CLUB,Club,135 KENSINGTON ROAD,LEOPOLD,3224,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.1769,144.4658051
GEELONG COMBINED LEAGUES CLUB,Club,54 FELLMONGERS ROAD,BREAKWATER,3219,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.1806,144.3811035
TEMPLESTOWE HOTEL,Hotel,23-29 PARKER STREET,LOWER TEMPLESTOWE,3107,City of Manningham,Manningham City,-37.7562,145.1172943
VILLAGE GREEN HOTEL,Hotel,CNR SPRINGVALE & FERNTREE GULLY ROAD,MULGRAVE,3170,City of Monash,Monash (Capped Region),-37.9042,145.1600952
TOWER HOTEL,Hotel,686 BURWOOD ROAD,EAST HAWTHORN,3123,City of Boroondara,Boroondara City,-37.8258,145.0478973
SANDBELT CLUB HOTEL,Hotel,630-646 SOUTH ROAD,MOORABBIN,3189,City of Kingston,Kingston City,-37.9384,145.0675049
HEALESVILLE RSL,Club,275-279 MAROONDAH HIGHWAY,HEALESVILLE,3777,Shire of Yarra Ranges,Yarra Ranges Shire,-37.6518,145.5211945
MYRTLEFORD SAVOY SPORTING CLUB,Club,252-254 MYRTLE STREET,MYRTLEFORD,3737,Alpine Shire,Alpine Shire,-36.5545,146.7151031
SPORTSPARK GAMING AND ENTERTAINMENT CENTRE,Club,CNR GREVILLEA ROAD & DOWLING STREET,WENDOUREE,3355,City of Ballarat,Ballarat (Capped Region),-37.5285,143.8419037
KINGS CREEK HOTEL,Hotel,1989 FRANKSTON-FLINDERS ROAD,HASTINGS,3915,Mornington Peninsula Shire,Mornington Peninsula Shire,-38.2989,145.1842041
CAULFIELD RSL,Club,4 ST GEORGES ROAD,ELSTERNWICK,3185,City of Glen Eira,Glen Eira City,-37.884,145.0032959
DAYLESFORD BOWLING CLUB,Club,8 CAMP STREET,DAYLESFORD,3460,Shire of Hepburn,Hepburn Shire,-37.3413,144.1452026
DROMANA HOTEL,Hotel,151-165 NEPEAN HIGHWAY,DROMANA,3936,Mornington Peninsula Shire,Mornington Peninsula Shire,-38.3315,144.9676056
TOORADIN & DISTRICT SPORTS CLUB,Club,"RECREATION RESERVE, SOUTH GIPPSLAND HIGHWAY",TOORADIN,3980,City of Casey,Casey City (Municipal Limit),-38.2102,145.375
MOOROOPNA GOLF CLUB,Club,2 FAIRWAY DRIVE,MOOROOPNA,3629,City of Greater Shepparton,Greater Shepparton (Capped Region),-36.3866,145.3600006
SUNBURY SOCIAL CLUB,Club,"CLARKE OVAL, 47 RIDDELL ROAD",SUNBURY,3429,City of Hume,Hume (Capped Region),-37.5749,144.7210999
SPHINX ENTERTAINMENT CENTRE,Hotel,2 THOMPSON ROAD,NORTH GEELONG,3215,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.1259,144.3421936
MARYBOROUGH GOLF CLUB,Club,125 PARK ROAD,MARYBOROUGH,3465,Shire of Central Goldfields,Central Goldfields (Capped Region),-37.0319,143.7424927
LEONGATHA RSL,Club,CORNER SMITH STREET AND MICHAEL PLACE,LEONGATHA,3953,Shire of South Gippsland,South Gippsland Shire,-38.4754,145.9452057
THE BRUNSWICK CLUB,Club,203 SYDNEY ROAD,BRUNSWICK,3056,City of Moreland,Moreland (Capped Region),-37.7725,144.960907
ST KILDA ARMY & NAVY CLUB,Club,88 ACLAND STREET,ST KILDA,3182,City of Port Phillip,Port Phillip City,-37.8674,144.9790955
BENALLA BOWLS CLUB,Club,25 ARUNDEL STREET,BENALLA,3672,Rural City of Benalla,Benalla City,-36.5525,145.9759979
WONTHAGGI WORKMEN'S CLUB,Club,75 GRAHAM STREET,WONTHAGGI,3995,Bass Coast Shire,Bass Coast (Capped Region),-38.6062,145.5928955
BENDIGO DISTRICT RSL CLUB,Club,73-75 HAVILAH ROAD,BENDIGO,3550,City of Greater Bendigo,Greater Bendigo City,-36.7392,144.2682953
GROSVENOR HOTEL,Hotel,10 BRIGHTON ROAD,ST KILDA,3182,City of Port Phillip,Port Phillip City,-37.8722,144.9902954
THE SETTLEMENT AT CRANBOURNE,Hotel,CNR SOUTH GIPPSLAND HIGHWAY & CAMMS ROAD,CRANBOURNE,3977,City of Casey,Casey (Capped Region),-38.0975,145.283493
CHELTENHAM MOORABBIN RSL,Club,289 CENTRE DANDENONG ROAD,CHELTENHAM,3192,City of Kingston,Kingston City,-37.9678,145.0657043
BOURKE HILL'S WELCOME STRANGER,Hotel,128 BOURKE STREET,MELBOURNE,3000,City of Melbourne,"Melbourne CBD, Docklands & Southbank Precincts",-37.812,144.9691925
ITALIAN SPORTS CLUB OF WERRIBEE,Club,601 HEATHS ROAD,WERRIBEE,3030,City of Wyndham,Wyndham (Capped Region),-37.884,144.6475983
OLINDA CREEK HOTEL,Hotel,161 MAIN STREET,LILYDALE,3140,Shire of Yarra Ranges,Yarra Ranges Shire,-37.7569,145.3489075
FOSTER GOLF CLUB,Club,7 RESERVE STREET,FOSTER,3960,Shire of South Gippsland,South Gippsland Shire,-38.655,146.1958008
VICTORIA HOTEL (SHEPPARTON),Hotel,CNR WYNDHAM & FRYERS STREETS,SHEPPARTON,3630,City of Greater Shepparton,Greater Shepparton (Capped Region),-36.3787,145.3993988
HAMPTON BOWLS CLUB,Club,CNR FEWSTER ROAD & EARLSFIELD ROAD,HAMPTON,3188,City of Bayside,Bayside City,-37.9373,145.0149994
PENINSULA CLUB,Club,1-3 NOEL STREET,DROMANA,3936,Mornington Peninsula Shire,Mornington Peninsula Shire,-38.3341,144.9656067
GOLDEN POINT HOTEL,Hotel,629 - 643 MAIN ROAD,BALLARAT,3350,City of Ballarat,Ballarat (Capped Region),-37.5821,143.8683014
VILLAGE BELLE HOTEL,Hotel,202 BARKLY STREET,ST KILDA,3182,City of Port Phillip,Port Phillip City,-37.8695,144.9810028
ALL SEASONS INTERNATIONAL HOTEL BENDIGO,Hotel,171-183 MCIVOR HIGHWAY,BENDIGO,3550,City of Greater Bendigo,Greater Bendigo City,-36.7583,144.3115997
SUNSHINE CITY CLUB,Club,24 TALMAGE STREET,SUNSHINE,3020,City of Brimbank,Brimbank (Capped Region),-37.7791,144.824295
BUNDOORA BOWLING CLUB,Club,"YULONG RESERVE, CAMERON PARADE",BUNDOORA,3083,City of Banyule,Banyule (Capped Region),-37.6972,145.0610962
AUSTRALIAN CROATIAN NATIONAL HALL,Club,101-111 SEPARATION STREET,BELL PARK,3215,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.1109,144.3419952
The CAMDEN TOWN HOTEL,Hotel,414 HAWTHORN ROAD,CAULFIELD,3162,City of Glen Eira,Glen Eira City,-37.8894,145.0211029
BROWNS CORNER,Hotel,502 SYDNEY ROAD,COBURG,3058,City of Moreland,Moreland (Capped Region),-37.7415,144.9667969
GREENSBOROUGH HOTEL,Hotel,75 MAIN STREET,GREENSBOROUGH,3088,City of Banyule,Banyule City (Municipal Limit),-37.7028,145.1047058
HARP OF ERIN HOTEL,Hotel,636 HIGH STREET,KEW EAST,3102,City of Boroondara,Boroondara City,-37.7991,145.0514069
WERRIBEE PLAZA TAVERN,Hotel,CNR DERRIMUT AND HEATH ROADS,WERRIBEE,3030,City of Wyndham,Wyndham (Capped Region),-37.8763,144.6815033
THE ORBOST CLUB,Club,67-69 GLADSTONE STREET,ORBOST,3888,Shire of East Gippsland,East Gippsland (Capped Region),-37.7024,148.4600067
YARRAVILLE-FOOTSCRAY BOWLING CLUB,Club,CNR FRANCIS & HAWKHURST STREET,YARRAVILLE,3013,City of Maribyrnong,Maribyrnong (Capped Region),-37.8197,144.8695984
HOPPERS CROSSING SPORTS CLUB,Club,"HOGANS RESERVE, HOGANS ROAD",HOPPERS CROSSING,3029,City of Wyndham,Wyndham (Capped Region),-37.8628,144.6938934
MANSFIELD GOLF CLUB,Club,KIDSTON PARADE,MANSFIELD,3722,Shire of Mansfield,Mansfield Shire,-37.061,146.0769043
PLOUGH HOTEL,Hotel,CHILDS ROAD,MILL PARK,3082,City of Whittlesea,Whittlesea (Capped Region),-37.6668,145.0608063
POLISH COMMUNITY ASSOC IN GEELONG,Club,46-48 FELLMONGERS ROAD,BREAKWATER,3219,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.1809,144.378006
MORDIALLOC SPORTING CLUB,Club,528 MAIN STREET,MORDIALLOC,3195,City of Kingston,Kingston City,-38.0053,145.0847931
MORWELL BOWLING CLUB,Club,52 HAZELWOOD ROAD,MORWELL,3840,City of La Trobe,Latrobe (Capped Region),-38.2419,146.3930054
ST ALBANS SPORTS CLUB,Club,"KINGS PARK RESERVE, GILLESPIE ROAD",ST ALBANS,3021,City of Brimbank,Brimbank (Capped Region),-37.7326,144.7765961
LAKES ENTRANCE BOWLS CLUB,Club,CNR BULMER & ROWE STREETS,LAKES ENTRANCE,3909,Shire of East Gippsland,East Gippsland (Capped Region),-37.8779,147.9886932
THE PRINCE OF WALES HOTEL - RICHMOND,Hotel,109 CHURCH STREET,RICHMOND,3121,City of Yarra,Yarra City,-37.8146,145.0001984
COURT HOUSE HOTEL (BACCHUS MARSH),Hotel,116 MAIN STREET,BACCHUS MARSH,3340,Shire of Moorabool,Moorabool Shire,-37.6754,144.436203
MVRC LEIGHOAK CLUB,Club,CNR PRINCES HIGHWAY & ATKINSON STREET,OAKLEIGH,3166,City of Monash,Monash (Capped Region),-37.8931,145.0930023
THE CHASE HOTEL,Hotel,"TENANCY 304 LEVEL 3, 270 CANTERBURY ROAD",FOREST HILL,3131,City of Whitehorse,Whitehorse City,-37.8353,145.1647949
FERNTREE GULLY BOWLING CLUB,Club,14 MERRICKS CLOSE,FERNTREE GULLY,3156,City of Knox,Knox City,-37.8891,145.2870026
QUEENSCLIFF BOWLING TENNIS AND CROQUET CLUB,Club,118 HESSE STREET,QUEENSCLIFF,3225,Borough of Queenscliffe,Greater Geelong and Queenscliffe (Capped Region),-38.2719,144.656601
WEST HEIDELBERG RSL,Club,180 BELL STREET,WEST HEIDELBERG,3081,City of Banyule,Banyule (Capped Region),-37.7521,145.0494995
EPPING HOTEL,Hotel,743 HIGH STREET,EPPING,3076,City of Whittlesea,Whittlesea (Capped Region),-37.6493,145.0245056
MARYBOROUGH HIGHLAND SOCIETY,Club,35 HIGH STREET,MARYBOROUGH,3465,Shire of Central Goldfields,Central Goldfields (Capped Region),-37.0489,143.733902
BAIRNSDALE BOWLS CLUB,Club,CNR GRANT & PEARSON STS,BAIRNSDALE,3875,Shire of East Gippsland,East Gippsland (Capped Region),-37.824,147.6199951
RUBICON HOTEL,Hotel,1362 TAGGERTY-THORNTON ROAD,THORNTON,3712,Shire of Murrindindi,Murrindindi Shire,-37.2555,145.7973938
KANGAROO FLAT SPORTS CLUB,Club,"DOWER PARK, MACKENZIE STREET WEST",KANGAROO FLAT,3555,City of Greater Bendigo,Greater Bendigo City,-36.7937,144.2400055
MORNINGTON ON TANTI HOTEL,Hotel,917 NEPEAN HIGHWAY,MORNINGTON,3931,Mornington Peninsula Shire,Mornington Peninsula Shire,-38.226,145.0480957
KYNETON RSL,Club,37-39 MOLLISON STREET,KYNETON,3444,Shire of Macedon Ranges,Macedon Ranges Shire,-37.2515,144.4523926
ECHUCA HOTEL,Hotel,569-571 HIGH STREET,ECHUCA,3564,Shire of Campaspe,Campaspe Shire,-36.1211,144.7458954
PORTARLINGTON GOLF CLUB,Club,130 HOOD ROAD,PORTARLINGTON,3223,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.1238,144.670105
COMMERCIAL HOTEL (CAMPERDOWN),Hotel,115 MANIFOLD STREET,CAMPERDOWN,3260,Shire of Corangamite,Corangamite Shire,-38.2343,143.1481018
MCKINNON HOTEL,Hotel,251 MCKINNON ROAD,MCKINNON,3204,City of Glen Eira,Glen Eira City,-37.9113,145.0424957
COMMERCIAL HOTEL (SWAN HILL),Hotel,91-105 CAMPBELL STREET,SWAN HILL,3585,Rural City of Swan Hill,Swan Hill Rural City,-35.337,143.5594025
HILL TOP GOLF AND COUNTRY CLUB,Club,GOWRIE STREET,TATURA,3616,City of Greater Shepparton,Greater Shepparton (Capped Region),-36.4329,145.2359924
ALTONA BOWLING CLUB,Club,113 CIVIC PARADE,ALTONA,3018,City of Hobsons Bay,Hobsons Bay (Capped Region),-37.8642,144.8325043
PHOENIX HOTEL,Hotel,59 MOORABOOL STREET,GEELONG,3220,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.1462,144.3616028
MITCHELL RIVER TAVERN,Hotel,59-61 MAIN STREET,BAIRNSDALE,3875,Shire of East Gippsland,East Gippsland (Capped Region),-37.8258,147.6345978
COLAC BOWLING CLUB,Club,CNR MOORE AND ARMSTRONG STREETS,COLAC,3250,Shire of Colac-Otway,Colac-Otway Shire,-38.3335,143.5771942
WARRNAMBOOL BOWLS CLUB,Club,75 TIMOR STREET,WARRNAMBOOL,3280,City of Warrnambool,Warrnambool (Capped Region),-38.3878,142.4862061
GOLF HOUSE HOTEL,Hotel,920 DOVETON STREET NORTH,BALLARAT,3350,City of Ballarat,Ballarat (Capped Region),-37.5417,143.8591003
FORESTERS ARMS HOTEL,Hotel,1529 DANDENONG ROAD,OAKLEIGH,3166,City of Monash,Monash (Capped Region),-37.8929,145.0914001
LORNE HOTEL,Hotel,176 MOUNTJOY PARADE,LORNE,3232,Surf Coast Shire,Surf Coast Shire,-38.5431,143.9756927
BENALLA GOLF CLUB,Club,MANSFIELD ROAD,BENALLA,3672,Rural City of Benalla,Benalla City,-36.5721,145.957901
CLUB EASTWOOD,Club,117 OMEO HIGHWAY,BAIRNSDALE,3875,Shire of East Gippsland,East Gippsland (Capped Region),-37.8093,147.6472015
FAWKNER RSL,Club,135 LORNE STREET,FAWKNER,3060,City of Moreland,Moreland (Capped Region),-37.7152,144.963501
DAVA HOTEL,Hotel,610 THE ESPLANADE,MT MARTHA,3934,Mornington Peninsula Shire,Mornington Peninsula Shire,-38.2449,145.0301971
SYLVANIA HOTEL,Hotel,1631 SYDNEY ROAD,CAMPBELLFIELD,3061,City of Hume,Hume (Capped Region),-37.6737,144.9524994
WAURN PONDS HOTEL,Hotel,1154 PRINCES HIGHWAY,WAURN PONDS,3216,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.2032,144.3106995
COBDEN GOLF CLUB,Club,NEYLON STREET,COBDEN,3266,Shire of Corangamite,Corangamite Shire,-38.3227,143.0758057
CORRYONG SPORTING COMPLEX,Club,RECREATION RESERVE,CORRYONG,3707,Shire of Towong,Towong Shire,-36.192,147.8997955
NEWBOROUGH BOWLING CLUB,Club,CNR MONASH & COACH ROADS,NEWBOROUGH,3825,City of La Trobe,Latrobe (Capped Region),-38.182,146.2996979
PRESTON HOTEL,Hotel,635 HIGH STREET,PRESTON,3072,City of Darebin,Darebin (Capped Region),-37.7332,145.0043945
SEYMOUR CLUB,Club,CNR ELIZABETH & TALLAROOK STREETS,SEYMOUR,3660,Shire of Mitchell,Mitchell Shire,-37.0215,145.1325073
PHILLIP ISLAND RSL,Club,225-243 THOMPSON AVENUE,COWES,3922,Bass Coast Shire,Bass Coast (Capped Region),-38.463,145.2398987
CLAYTON BOWLS CLUB,Club,SPRINGS ROAD,CLAYTON SOUTH,3169,City of Kingston,Kingston City,-37.9335,145.1112061
TUDOR INN HOTEL,Hotel,1281 NEPEAN HIGHWAY,CHELTENHAM,3192,City of Kingston,Kingston City,-37.9636,145.0576935
ELSTERNWICK HOTEL,Hotel,259 BRIGHTON ROAD,ELWOOD,3184,City of Port Phillip,Port Phillip City,-37.8832,144.9958954
GATEWAY HOTEL,Hotel,218 PRINCES HIGHWAY,CORIO,3214,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.0806,144.3641968
BLACKBURN HOTEL,Hotel,111 WHITEHORSE ROAD,BLACKBURN,3130,City of Whitehorse,Whitehorse City,-37.8169,145.1517029
AUSTRAL HOTEL,Hotel,185 MURRAY STREET,COLAC,3250,Shire of Colac-Otway,Colac-Otway Shire,-38.3395,143.5845947
ROYAL HOTEL (DAYLESFORD),Hotel,27 VINCENT STREET,DAYLESFORD,3460,Shire of Hepburn,Hepburn Shire,-37.3418,144.1430969
WESTMEADOWS TAVERN,Hotel,10 ARDLIE STREET,WESTMEADOWS,3049,City of Hume,Hume (Capped Region),-37.676,144.8887939
WARRAGUL COUNTRY CLUB,Club,41 SUTTON STREET,WARRAGUL,3820,Shire of Baw Baw,Baw Baw Shire,-38.1488,145.922699
LARA HOTEL,Hotel,8 - 12 HICKS STREET,LARA,3212,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.0237,144.4140015
CLUB HOTEL (WARRAGUL),Club,51 QUEEN STREET,WARRAGUL,3820,Shire of Baw Baw,Baw Baw Shire,-38.1629,145.9299011
COURT JESTER HOTEL,Hotel,270 CHAPEL STREET,PRAHRAN,3181,City of Stonnington,Stonnington City,-37.8506,144.9931946
GOULBURN VALLEY HOTEL,Hotel,223 HIGH STREET,SHEPPARTON,3630,City of Greater Shepparton,Greater Shepparton (Capped Region),-36.3817,145.4060059
MANNINGHAM CLUB,Club,1 THOMPSONS ROAD,BULLEEN,3105,City of Manningham,Manningham City,-37.7775,145.0812988
EPPING RSL,Club,195 HARVEST HOME ROAD,EPPING,3076,City of Whittlesea,Whittlesea (Capped Region),-37.6232,145.0211029
VICTORIAN TAVERN,Hotel,22 AITKEN STREET,GISBORNE,3437,Shire of Macedon Ranges,Macedon Ranges Shire,-37.486,144.5908966
MAGPIE AND STUMP HOTEL,Hotel,3313 EPPING-KILMORE ROAD,WANDONG,3758,Shire of Mitchell,Mitchell Shire,-37.3557,145.0247955
SOMERVILLE HOTEL,Hotel,84 STATION STREET,SOMERVILLE,3912,Mornington Peninsula Shire,Mornington Peninsula Shire,-38.2243,145.1744995
ACES SPORTING CLUB,Club,CNR HUTTON AND SPRINGVALE ROADS,KEYSBOROUGH,3173,City of Greater Dandenong,Greater Dandenong (Capped Region),-38.0098,145.1419983
SPORTING LEGENDS CLUB,Club,233 YORK STREET,SALE,3850,Shire of Wellington,Wellington (Capped Region),-38.1045,147.0675049
ROBINVALE GOLF CLUB,Club,4240 MURRAY VALLEY HIGHWAY,ROBINVALE,3549,Rural City of Swan Hill,Swan Hill Rural City,-34.6013,142.7798004
PORTLAND FOOTBALL NETBALL CRICKET CLUB,Club,"HANLON PARK, HENTY STREET",PORTLAND,3305,Shire of Glenelg,Glenelg Shire,-38.3451,141.5993042
MONBULK BOWLING CLUB,Club,11 MOORES ROAD,MONBULK,3793,Shire of Yarra Ranges,Yarra Ranges Shire,-37.874,145.4095001
CITY BOWLS CLUB COLAC,Club,"CENTRAL RESERVE, GRAVESEND STREET",COLAC,3250,Shire of Colac-Otway,Colac-Otway Shire,-38.348,143.5865021
OLYMPIC HOTEL,Hotel,31 ALBERT STREET,PRESTON,3072,City of Darebin,Darebin (Capped Region),-37.7465,145.0214996
SEBASTOPOL BOWLING CLUB,Club,213-219 ALBERT STREET,SEBASTOPOL,3356,City of Ballarat,Ballarat (Capped Region),-37.6002,143.8415985
RIFLE CLUB HOTEL,Hotel,121 VICTORIA STREET,WILLIAMSTOWN,3016,City of Hobsons Bay,Hobsons Bay (Capped Region),-37.8581,144.8887939
